Stock,Quarterly,Yearly,2 Years
MSFT,377.8977722005491,383.77066904806935,379.9766693256789
MARA,11.713589319654297,11.25160942979585,11.850236712092475
JNJ,162.93777028347628,162.90437206516333,164.85459106587973
KO,69.25947868556509,69.14814897152101,70.24308858876753
TSLA,241.45102025797866,236.81007213356926,251.49196240238624
WMT,84.70403491942187,84.47082835153812,84.5299489906904
JPM,225.78459459043341,228.17093900065717,222.2410479558068
IBM,245.2546625996658,241.95328670386795,243.29342594709507
V,328.4025336587537,324.67292266506587,326.64331141816956
